iter	Passed	Remaining
0	62	62785
1	63	31623
2	63	21221
3	64	16013
4	68	13558
5	69	11433
6	69	9878
7	70	8691
8	70	7767
9	70	7028
10	71	6423
11	71	5920
12	72	5493
13	72	5130
14	73	4815
15	73	4538
16	74	4294
17	74	4077
18	75	3890
19	76	3726
20	76	3567
21	77	3454
22	78	3320
23	78	3197
24	79	3093
25	79	2989
26	80	2891
27	80	2801
28	81	2716
29	81	2637
30	82	2564
31	82	2499
32	83	2434
33	83	2374
34	84	2316
35	84	2261
36	84	2209
37	85	2160
38	85	2113
39	86	2069
40	86	2027
41	87	1987
42	87	1949
43	88	1912
44	88	1877
45	88	1844
46	89	1812
47	89	1781
48	90	1753
49	90	1724
50	91	1697
51	91	1676
52	92	1651
53	92	1627
54	93	1603
55	93	1581
56	94	1559
57	94	1541
58	95	1522
59	95	1502
60	96	1483
61	96	1465
62	97	1447
63	97	1429
64	98	1413
65	98	1396
66	99	1380
67	99	1360
68	99	1348
69	100	1337
70	101	1323
71	101	1309
72	102	1295
73	102	1282
74	102	1269
75	103	1256
76	103	1244
77	104	1232
78	104	1222
79	105	1211
80	105	1200
81	106	1189
82	106	1178
83	107	1168
84	107	1155
85	107	1145
86	108	1133
87	108	1123
88	108	1114
89	109	1105
90	109	1096
91	110	1090
92	111	1083
93	111	1078
94	112	1070
95	113	1065
96	113	1057
97	113	1049
98	114	1043
99	115	1035
100	115	1029
101	115	1019
102	116	1012
103	116	1005
104	117	998
105	117	991
106	118	986
107	118	980
108	119	975
109	119	970
110	120	964
111	120	958
112	121	953
113	121	947
114	122	942
115	122	935
116	123	929
117	123	923
118	124	918
119	124	914
120	125	908
121	125	903
122	125	896
123	126	892
124	126	888
125	127	884
126	128	880
127	128	874
128	129	871
129	129	867
130	130	863
131	130	860
132	131	856
133	131	852
134	132	849
135	133	846
136	133	842
137	134	837
138	134	835
139	135	832
140	136	829
141	136	825
142	137	822
143	137	819
144	138	815
145	138	811
146	139	807
147	139	803
148	139	799
149	140	796
150	141	793
151	141	790
152	142	788
153	142	785
154	143	781
155	143	778
156	144	775
157	144	771
158	145	769
159	145	766
160	146	763
161	146	759
162	147	756
163	147	753
164	148	750
165	149	749
166	149	747
167	150	744
168	150	742
169	151	739
170	152	739
171	153	736
172	153	733
173	154	732
174	154	730
175	155	727
176	155	724
177	156	721
178	156	718
179	157	715
180	157	712
181	157	709
182	158	706
183	158	703
184	159	701
185	159	699
186	160	696
187	160	694
188	161	691
189	161	689
190	162	687
191	162	685
192	163	682
193	163	680
194	164	678
195	164	676
196	165	674
197	165	672
198	166	669
199	166	667
200	167	665
201	167	663
202	168	661
203	168	659
204	169	657
205	169	655
206	170	652
207	170	650
208	171	649
209	171	646
210	172	644
211	172	642
212	173	640
213	173	638
214	174	636
215	174	634
216	175	632
217	175	630
218	176	628
219	176	626
220	177	624
221	177	622
222	178	620
223	178	618
224	178	616
225	179	614
226	179	612
227	180	610
228	180	609
229	181	607
230	181	605
231	182	603
232	182	600
233	182	598
234	183	596
235	183	594
236	184	593
237	184	591
238	185	591
239	186	589
240	187	589
241	187	588
242	188	586
243	189	585
244	189	584
245	190	583
246	190	581
247	191	580
248	191	578
249	192	577
250	193	576
251	193	574
252	194	573
253	194	571
254	195	569
255	195	568
256	196	567
257	196	565
258	197	564
259	197	563
260	198	562
261	199	560
262	199	558
263	200	557
264	200	556
265	200	554
266	201	552
267	201	551
268	202	549
269	202	548
270	203	547
271	203	545
272	204	544
273	205	543
274	205	541
275	205	540
276	206	538
277	206	537
278	207	535
279	207	534
280	208	533
281	208	532
282	209	530
283	209	529
284	210	527
285	210	526
286	211	524
287	211	523
288	212	521
289	212	520
290	213	519
291	213	517
292	213	516
293	214	514
294	214	513
295	215	512
296	215	510
297	216	509
298	216	508
299	217	506
300	217	505
301	218	503
302	218	502
303	219	501
304	219	500
305	219	498
306	220	497
307	221	496
308	221	495
309	222	494
310	222	493
311	223	492
312	223	491
313	224	490
314	225	490
315	226	489
316	226	488
317	227	487
318	227	486
319	228	485
320	228	483
321	229	482
322	229	481
323	230	480
324	230	479
325	231	478
326	231	477
327	232	475
328	232	474
329	233	473
330	233	472
331	234	471
332	234	470
333	235	468
334	235	467
335	236	466
336	236	465
337	236	464
338	237	462
339	237	461
340	238	461
341	239	460
342	240	460
343	240	459
344	241	458
345	242	457
346	242	456
347	243	455
348	243	454
349	244	453
350	244	451
351	244	450
352	245	449
353	245	448
354	246	447
355	246	446
356	247	444
357	247	443
358	248	442
359	248	441
360	248	440
361	249	439
362	249	438
363	250	437
364	250	436
365	251	435
366	251	434
367	252	433
368	252	432
369	253	431
370	253	430
371	254	428
372	254	428
373	255	427
374	255	426
375	256	425
376	256	424
377	257	424
378	258	422
379	258	422
380	259	420
381	259	419
382	260	418
383	260	417
384	260	416
385	261	415
386	261	414
387	262	413
388	262	412
389	263	411
390	264	411
391	264	410
392	264	409
393	265	408
394	265	407
395	266	406
396	267	405
397	268	405
398	268	404
399	269	403
400	269	402
401	270	401
402	270	400
403	271	399
404	271	398
405	272	398
406	272	397
407	272	396
408	273	395
409	273	394
410	274	393
411	274	392
412	275	391
413	275	390
414	276	389
415	276	388
416	277	387
417	277	386
418	278	385
419	278	384
420	278	383
421	279	383
422	280	382
423	280	381
424	281	380
425	281	379
426	282	378
427	282	377
428	283	376
429	283	375
430	284	375
431	284	374
432	285	373
433	285	372
434	286	371
435	286	370
436	286	369
437	287	369
438	288	368
439	288	367
440	289	366
441	289	365
442	290	364
443	290	363
444	291	362
445	291	362
446	291	361
447	294	362
448	294	361
449	295	360
450	295	359
451	296	358
452	296	357
453	296	356
454	297	356
455	297	355
456	298	354
457	298	353
458	298	352
459	299	351
460	299	350
461	300	349
462	300	348
463	302	349
464	303	349
465	303	348
466	304	347
467	304	346
468	305	345
469	305	344
470	305	343
471	306	342
472	306	341
473	307	340
474	307	340
475	308	339
476	308	338
477	309	337
478	309	336
479	309	335
480	310	334
481	310	334
482	311	333
483	311	332
484	312	331
485	312	330
486	312	329
487	313	328
488	313	327
489	314	327
490	314	326
491	315	325
492	315	324
493	316	323
494	316	322
495	317	322
496	318	321
497	318	321
498	319	320
499	319	319
500	319	318
501	320	317
502	320	316
503	321	316
504	321	315
505	322	314
506	322	313
507	322	312
508	323	311
509	323	311
510	324	310
511	324	309
512	325	308
513	325	307
514	326	307
515	326	306
516	326	305
517	327	304
518	327	303
519	328	303
520	328	302
521	329	301
522	329	300
523	329	299
524	330	298
525	330	298
526	331	297
527	331	296
528	331	295
529	332	294
530	332	293
531	332	292
532	333	292
533	333	291
534	334	290
535	334	289
536	334	288
537	335	287
538	335	287
539	335	286
540	336	285
541	336	284
542	337	283
543	337	282
544	337	281
545	338	281
546	338	280
547	338	279
548	339	278
549	339	277
550	340	277
551	340	276
552	340	275
553	341	274
554	341	273
555	341	273
556	342	272
557	342	271
558	343	270
559	343	269
560	343	269
561	344	268
562	344	267
563	344	266
564	345	265
565	345	265
566	346	264
567	346	263
568	346	262
569	347	261
570	347	261
571	347	260
572	348	259
573	348	258
574	348	257
575	349	257
576	349	256
577	350	255
578	350	254
579	350	254
580	351	253
581	351	252
582	351	251
583	352	250
584	352	250
585	353	249
586	353	248
587	353	247
588	354	247
589	354	246
590	354	245
591	355	244
592	355	244
593	356	243
594	356	242
595	356	241
596	357	241
597	357	240
598	357	239
599	358	238
600	358	238
601	359	237
602	359	236
603	359	235
604	360	235
605	360	234
606	360	233
607	361	232
608	361	232
609	361	231
610	362	230
611	362	229
612	363	229
613	363	228
614	363	227
615	364	227
616	364	226
617	364	225
618	365	224
619	365	224
620	366	223
621	366	222
622	367	222
623	367	221
624	368	220
625	368	220
626	368	219
627	369	218
628	369	218
629	370	217
630	370	216
631	371	216
632	372	215
633	372	215
634	373	214
635	373	213
636	374	213
637	374	212
638	375	211
639	375	211
640	376	210
641	376	210
642	377	209
643	377	208
644	378	208
645	378	207
646	379	206
647	379	206
648	380	205
649	380	205
650	381	204
651	381	203
652	382	203
653	382	202
654	383	202
655	384	201
656	385	201
657	385	200
658	386	199
659	387	199
660	387	198
661	388	198
662	388	197
663	389	196
664	389	196
665	390	195
666	390	195
667	391	194
668	392	194
669	393	193
670	394	193
671	394	192
672	395	192
673	395	191
674	396	190
675	396	190
676	397	189
677	397	188
678	398	188
679	398	187
680	398	186
681	399	186
682	400	185
683	400	185
684	401	184
685	401	183
686	402	183
687	402	182
688	403	182
689	404	181
690	404	180
691	405	180
692	405	179
693	406	179
694	406	178
695	407	177
696	408	177
697	408	176
698	409	176
699	409	175
700	410	175
701	411	174
702	411	173
703	412	173
704	412	172
705	412	171
706	413	171
707	414	170
708	414	170
709	415	169
710	415	169
711	416	168
712	417	167
713	417	167
714	418	166
715	418	166
716	419	165
717	420	165
718	420	164
719	421	164
720	422	163
721	422	162
722	423	162
723	424	161
724	424	161
725	425	160
726	425	159
727	426	159
728	426	158
729	427	157
730	427	157
731	428	156
732	428	156
733	429	155
734	429	154
735	430	154
736	430	153
737	430	152
738	431	152
739	431	151
740	432	151
741	432	150
742	433	149
743	433	149
744	434	148
745	434	147
746	439	148
747	442	149
748	442	148
749	443	147
750	443	147
751	444	146
752	444	145
753	445	145
754	445	144
755	445	143
756	446	143
757	446	142
758	447	142
759	447	141
760	448	140
761	448	140
762	449	139
763	449	138
764	450	138
765	450	137
766	451	137
767	451	136
768	452	135
769	452	135
770	453	134
771	453	133
772	453	133
773	454	132
774	454	132
775	455	131
776	455	130
777	456	130
778	456	129
779	457	128
780	457	128
781	458	127
782	458	127
783	459	126
