iter	Passed	Remaining
0	58	58740
1	59	29467
2	59	19725
3	59	14836
4	59	11899
5	60	9959
6	60	8561
7	60	7512
8	60	6694
9	61	6040
10	61	5509
11	61	5072
12	61	4696
13	62	4372
14	62	4094
15	62	3849
16	62	3634
17	63	3441
18	63	3270
19	63	3115
20	63	2973
21	64	2846
22	64	2729
23	64	2621
24	64	2522
25	64	2430
26	65	2345
27	65	2266
28	65	2192
29	65	2124
30	65	2060
31	66	2001
32	66	1948
33	66	1896
34	66	1846
35	67	1799
36	67	1755
37	67	1715
38	68	1676
39	68	1638
40	68	1602
41	68	1569
42	69	1537
43	69	1505
44	69	1474
45	69	1445
46	69	1416
47	70	1389
48	70	1363
49	70	1339
50	70	1316
51	70	1293
52	71	1271
53	71	1250
54	71	1230
55	71	1210
56	71	1190
57	72	1172
58	72	1154
59	72	1137
60	72	1123
61	73	1107
62	73	1091
63	73	1075
64	73	1061
65	73	1046
66	74	1032
67	74	1019
68	74	1006
69	74	993
70	74	980
71	75	968
72	75	957
73	75	946
74	75	935
75	76	924
76	76	913
77	76	903
78	76	893
79	76	883
80	77	873
81	77	864
82	77	853
83	77	845
84	77	836
85	77	828
86	78	819
87	78	811
88	78	803
89	78	795
90	78	788
91	79	780
92	79	773
93	79	766
94	79	759
95	79	752
96	80	745
97	80	739
98	80	732
99	80	726
100	80	719
101	81	713
102	81	707
103	81	701
104	81	696
105	81	690
106	82	685
107	82	679
108	82	674
109	82	669
110	83	664
111	83	660
112	83	655
113	83	650
114	83	645
115	84	640
116	84	635
117	84	630
118	84	626
119	84	622
120	85	617
121	85	612
122	85	608
123	85	604
124	85	600
125	85	596
126	86	591
127	86	587
128	86	583
129	86	579
130	86	576
131	87	572
132	87	568
133	87	565
134	87	561
135	87	557
136	88	554
137	88	550
138	88	547
139	88	544
140	88	540
141	88	537
142	89	533
143	89	530
144	89	527
145	89	524
146	89	521
147	90	518
148	90	515
149	90	512
150	90	509
151	90	507
152	91	504
